Edad,Experiencia,Horas_Estudio,Ingresos,Gasto_Mensual,Ahorro
58,38.5,9.4,6354.0,4307.0,1974.0
48,26.9,14.9,5145.0,3317.0,2072.0
34,8.9,11.1,3240.0,2146.0,917.0
62,39.8,18.9,7520.0,4454.0,2963.0
27,7.9,15.2,3514.0,2187.0,1344.0
40,20.4,14.5,4499.0,3191.0,1317.0
58,40.5,14.5,6927.0,4699.0,2277.0
38,17.0,18.0,4350.0,2893.0,1614.0
42,30.1,13.2,5503.0,3574.0,1917.0
30,5.2,18.1,3248.0,2271.0,989.0
30,6.8,19.2,2937.0,1853.0,1025.0
43,20.8,13.6,5085.0,2972.0,2172.0
55,28.7,11.3,5903.0,3836.0,2035.0
59,40.1,12.9,7321.0,4840.0,2450.0
43,23.7,17.8,4951.0,3442.0,1563.0
22,0.1,15.4,2011.0,1019.0,1095.0
41,17.4,17.5,5010.0,3232.0,1557.0
21,0.0,22.1,2465.0,1587.0,914.0
43,18.6,15.9,4088.0,2437.0,1624.0
63,43.2,11.8,7359.0,4881.0,2573.0
49,26.4,19.2,5876.0,3969.0,1882.0
57,33.7,15.2,6104.0,3909.0,2324.0
21,0.5,18.5,2417.0,1982.0,367.0
40,21.5,19.3,4918.0,3133.0,1562.0
52,30.8,11.2,5792.0,3675.0,2222.0
31,9.9,20.5,3388.0,2107.0,1197.0
41,23.1,18.6,4267.0,2611.0,1499.0
63,41.5,12.6,7888.0,5016.0,2874.0
44,21.1,16.2,4773.0,2816.0,1933.0
46,26.0,16.0,5593.0,3597.0,2078.0
61,38.2,15.1,7188.0,4683.0,2593.0
47,23.9,18.5,5634.0,3206.0,2438.0
35,16.8,20.7,3991.0,2574.0,1329.0
34,11.1,15.0,3681.0,2401.0,1309.0
63,33.0,20.3,6845.0,4552.0,2310.0
22,1.0,19.0,2535.0,1888.0,703.0
56,32.8,15.9,6691.0,4520.0,2084.0
26,3.1,15.7,2477.0,1486.0,951.0
40,19.4,10.4,4349.0,2680.0,1721.0
28,5.5,9.0,3308.0,2266.0,1167.0
58,36.6,15.7,6130.0,3875.0,2352.0
37,8.9,11.6,4051.0,2387.0,1672.0
23,0.0,14.8,2144.0,1869.0,227.0
44,26.2,12.9,5276.0,3367.0,1949.0
33,10.9,7.8,3356.0,2056.0,1191.0
28,1.0,16.4,2524.0,1202.0,1240.0
45,19.8,13.3,5189.0,3543.0,1797.0
21,0.0,15.3,2376.0,1347.0,1069.0
39,17.3,11.4,4487.0,2923.0,1530.0
47,23.7,13.7,5238.0,3598.0,1722.0
26,2.0,21.2,2098.0,1169.0,1057.0
63,41.0,15.5,7063.0,4607.0,2412.0
27,6.4,17.2,2827.0,2142.0,642.0
54,31.2,9.9,6265.0,3581.0,2629.0
33,9.3,24.6,3448.0,2079.0,1465.0
36,12.7,22.4,4134.0,2506.0,1725.0
55,34.0,20.5,6539.0,4213.0,2464.0
59,37.0,18.3,6830.0,4430.0,2501.0
23,3.3,15.1,3182.0,1856.0,1163.0
21,0.0,16.8,2267.0,1343.0,952.0
25,0.7,19.2,2249.0,1307.0,836.0
61,41.3,12.5,7809.0,5005.0,2752.0
23,0.0,13.2,2595.0,1730.0,882.0
48,30.2,8.3,6317.0,4288.0,2112.0
37,19.2,11.9,4369.0,3051.0,1229.0
45,27.2,21.6,5692.0,3831.0,1629.0
63,38.4,13.7,6668.0,4159.0,2527.0
53,31.2,13.7,6319.0,4106.0,2477.0
29,5.5,16.3,2899.0,2359.0,520.0
55,35.8,8.6,6130.0,4187.0,1947.0
33,16.1,18.8,4284.0,2697.0,1766.0
50,30.6,20.1,5357.0,3798.0,1617.0
34,12.0,16.5,3118.0,1949.0,1191.0
27,3.9,21.6,2836.0,1710.0,1170.0
33,12.9,9.7,3892.0,2809.0,1108.0
42,16.3,22.4,4688.0,2785.0,1789.0
59,38.6,12.1,7166.0,4275.0,2757.0
40,15.3,9.9,4663.0,3220.0,1633.0
35,14.9,14.1,4174.0,2719.0,1474.0
64,41.5,22.5,7362.0,4811.0,2561.0
37,13.8,14.9,3950.0,2495.0,1446.0
43,18.3,11.3,4518.0,2889.0,1707.0
45,21.9,9.8,5068.0,3203.0,2119.0
44,23.7,14.6,4744.0,2959.0,1838.0
64,45.1,7.0,7793.0,4989.0,2745.0
60,39.6,9.8,7040.0,4494.0,2533.0
